Image 	 Size(Bytes) 	 Luminance 	 Contrast 	 AspectRatio 	 Width(Pixels) 	 Red 	 Green 	 Blue 
42597.jpg 	 171292 	 73.6092 	 0.5034 	 0.666667 	 450 	 82.7984 	 69.1890 	 72.2937 
42745.jpg 	 221434 	 125.2339 	 0.8827 	 0.664444 	 450 	 133.8938 	 121.3262 	 122.6318 
42749.jpg 	 154389 	 94.8054 	 0.2988 	 0.666667 	 450 	 111.8612 	 87.7483 	 86.3486 
42840.jpg 	 135513 	 94.3852 	 0.2016 	 0.666667 	 450 	 125.8102 	 86.4353 	 52.8259 
42850.jpg 	 142758 	 82.5948 	 0.2300 	 0.666667 	 450 	 114.5304 	 72.9255 	 48.6065 
42870.jpg 	 164568 	 76.4583 	 0.4556 	 0.666667 	 450 	 86.8858 	 74.2010 	 60.7055 
42880.jpg 	 128621 	 123.2464 	 0.1865 	 0.666667 	 450 	 137.4573 	 119.4837 	 105.2887 
44573.jpg 	 163737 	 77.9103 	 0.2754 	 0.664444 	 450 	 64.4539 	 83.5490 	 84.2649 
45460.jpg 	 149970 	 83.4082 	 0.4009 	 0.664444 	 450 	 89.2825 	 82.2000 	 74.2098 
45470.jpg 	 135766 	 106.8664 	 0.3615 	 0.664444 	 450 	 100.5940 	 107.7522 	 118.7986 
45535.jpg 	 131578 	 140.5564 	 0.1835 	 0.664444 	 450 	 155.9556 	 133.8359 	 134.7518 
45740.jpg 	 177349 	 124.9189 	 0.4135 	 0.668151 	 449 	 142.2824 	 119.8431 	 105.4541 
46570.jpg 	 110585 	 40.3682 	 0.1112 	 0.666667 	 450 	 37.2387 	 43.3549 	 32.8583 
47006.jpg 	 102983 	 80.2408 	 0.0952 	 0.666667 	 450 	 93.3341 	 77.1275 	 61.9469 
47010.jpg 	 175185 	 64.6529 	 0.4047 	 0.666667 	 450 	 105.2603 	 52.1451 	 22.4938 
47040.jpg 	 133714 	 144.5592 	 0.2013 	 0.664444 	 450 	 137.5986 	 151.3934 	 127.6114 
47041.jpg 	 138316 	 88.6363 	 0.2170 	 0.668151 	 449 	 113.3564 	 80.0521 	 67.9310 
47130.jpg 	 140616 	 78.7410 	 0.3902 	 0.666667 	 450 	 97.0728 	 72.1367 	 64.6626 
47150.jpg 	 107870 	 138.5515 	 0.1809 	 0.666667 	 450 	 140.0309 	 137.4133 	 140.5020 
47496.jpg 	 165610 	 79.7343 	 0.5158 	 0.666667 	 450 	 91.2580 	 76.1288 	 68.0428 
47497.jpg 	 227575 	 115.7835 	 0.9626 	 0.666667 	 450 	 132.0410 	 112.6900 	 89.0167 
47550.jpg 	 142189 	 89.0154 	 0.2554 	 0.666667 	 450 	 91.2345 	 92.3699 	 65.9281 
47632.jpg 	 140601 	 141.7712 	 0.1903 	 0.666667 	 450 	 143.0986 	 142.4810 	 134.5632 
49901.jpg 	 163412 	 133.9237 	 0.3876 	 0.666667 	 450 	 167.0729 	 123.4904 	 100.4917 
49902.jpg 	 194713 	 165.9283 	 0.3885 	 0.666667 	 450 	 223.8308 	 154.3810 	 73.4460 
49903.jpg 	 160336 	 170.8155 	 0.3637 	 0.664444 	 450 	 184.0850 	 175.7437 	 110.5317 
49904.jpg 	 154634 	 150.3712 	 0.3203 	 0.664444 	 450 	 107.5389 	 164.2434 	 191.2544 
49905.jpg 	 174473 	 151.5755 	 0.5595 	 0.666667 	 450 	 213.6747 	 130.7254 	 96.0407 
49906.jpg 	 168716 	 192.8579 	 0.2378 	 0.664444 	 450 	 202.0189 	 207.1577 	 95.0961 
49907.jpg 	 180697 	 138.3869 	 0.4485 	 0.664444 	 450 	 171.4146 	 125.8865 	 116.0255 
51006.jpg 	 148740 	 66.1189 	 0.2212 	 0.664444 	 450 	 71.3054 	 65.2513 	 56.9451 
